date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:51:28	130/130	---MCZ	200	added ('OK')	text/plain	date:Mon,%2020%20Nov%202023%2003:51:28%20GMT	https://dexico.templatekit.co/robots.txt		(from )
10:51:29	213821/213821	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Nov%202023%2023:50:49%20GMT	https://dexico.templatekit.co/	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/index.html	(from )
10:51:31	110035/110035	---MCZ	200	added ('OK')	text/css	date:Thu,%2009%20Nov%202023%2003:53:08%20GMT	https://dexico.templatekit.co/wp-includes/css/dist/block-library/style.min.css?ver=6.4.1	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/wp-includes/css/dist/block-library/style.minaec2.css	(from https://dexico.templatekit.co/)
10:51:31	230810/230810	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Nov%202021%2014:34:13%20GMT	https://dexico.templatekit.co/wp-content/uploads/sites/26/2020/09/floral-bedroom-interior-with-mockup.jpg	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/wp-content/uploads/sites/26/2020/09/floral-bedroom-interior-with-mockup.jpg	(from https://dexico.templatekit.co/)
10:51:33	5522/5522	---MCZ	200	added ('OK')	text/css	date:Wed,%2020%20Oct%202021%2014:04:32%20GMT	https://dexico.templatekit.co/wp-content/plugins/hello-merkulove/css/style.min.css?ver=6.4.1	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/wp-content/plugins/hello-merkulove/css/style.minaec2.css	(from https://dexico.templatekit.co/)
10:51:33	55267/55267	---MC-	200	added ('OK')	application/rss+xml	date:Sat,%2015%20Apr%202023%2015:22:26%20GMT	https://dexico.templatekit.co/feed/	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/feed/index.html	(from https://dexico.templatekit.co/)
10:51:33	1823/1823	---MC-	200	added ('OK')	application/rss+xml	date:Sat,%2015%20Apr%202023%2015:22:26%20GMT	https://dexico.templatekit.co/comments/feed/	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/comments/feed/index.html	(from https://dexico.templatekit.co/)
10:51:33	757/757	---MC-	200	added ('OK')	application/rss+xml	date:Sat,%2015%20Apr%202023%2015:22:26%20GMT	https://dexico.templatekit.co/sample-page-2/feed/	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/sample-page-2/feed/index.html	(from https://dexico.templatekit.co/)
10:51:33	1111/1111	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20Oct%202021%2011:21:21%20GMT	https://dexico.templatekit.co/wp-content/plugins/template-kit-export/public/assets/css/template-kit-export-public.min.css?ver=1.0.21	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/wp-content/plugins/template-kit-export/public/assets/css/template-kit-export-public.min365c.css	(from https://dexico.templatekit.co/)
10:51:34	6082/6082	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20Jul%202023%2006:08:50%20GMT	https://dexico.templatekit.co/wp-content/themes/hello-elementor/style.min.css?ver=2.8.1	D:/CodeGym/BC%20JAVA/module4/fe-md4/dexico.templatekit.co/wp-content/themes/hello-elementor/style.min1102.css	(from https://dexico.templatekit.co/)
